,sample3-NUSVR-nu=0.05-C=0.1,sample3-NUSVR-nu=0.1-C=0.1,sample3-NUSVR-nu=0.15-C=0.1,sample3-NUSVR-nu=0.25-C=0.1,sample3-NUSVR-nu=0.5-C=0.1,sample3-NUSVR-nu=0.6-C=0.1,sample3-NUSVR-nu=0.75-C=0.1,sample3-NUSVR-nu=0.8-C=0.1,sample3-NUSVR-nu=0.85-C=0.1,sample3-NUSVR-nu=0.05-C=0.25,sample3-NUSVR-nu=0.1-C=0.25,sample3-NUSVR-nu=0.15-C=0.25,sample3-NUSVR-nu=0.25-C=0.25,sample3-NUSVR-nu=0.5-C=0.25,sample3-NUSVR-nu=0.6-C=0.25,sample3-NUSVR-nu=0.75-C=0.25,sample3-NUSVR-nu=0.8-C=0.25,sample3-NUSVR-nu=0.85-C=0.25,sample3-NUSVR-nu=0.05-C=0.5,sample3-NUSVR-nu=0.1-C=0.5,sample3-NUSVR-nu=0.15-C=0.5,sample3-NUSVR-nu=0.25-C=0.5,sample3-NUSVR-nu=0.5-C=0.5,sample3-NUSVR-nu=0.6-C=0.5,sample3-NUSVR-nu=0.75-C=0.5,sample3-NUSVR-nu=0.8-C=0.5,sample3-NUSVR-nu=0.85-C=0.5,sample3-NUSVR-nu=0.05-C=0.75,sample3-NUSVR-nu=0.1-C=0.75,sample3-NUSVR-nu=0.15-C=0.75,sample3-NUSVR-nu=0.25-C=0.75,sample3-NUSVR-nu=0.5-C=0.75,sample3-NUSVR-nu=0.6-C=0.75,sample3-NUSVR-nu=0.75-C=0.75,sample3-NUSVR-nu=0.8-C=0.75,sample3-NUSVR-nu=0.85-C=0.75,sample3-NUSVR-nu=0.05-C=1,sample3-NUSVR-nu=0.1-C=1,sample3-NUSVR-nu=0.15-C=1,sample3-NUSVR-nu=0.25-C=1,sample3-NUSVR-nu=0.5-C=1,sample3-NUSVR-nu=0.6-C=1,sample3-NUSVR-nu=0.75-C=1,sample3-NUSVR-nu=0.8-C=1,sample3-NUSVR-nu=0.85-C=1,sample3-NUSVR-nu=0.05-C=10,sample3-NUSVR-nu=0.1-C=10,sample3-NUSVR-nu=0.15-C=10,sample3-NUSVR-nu=0.25-C=10,sample3-NUSVR-nu=0.5-C=10,sample3-NUSVR-nu=0.6-C=10,sample3-NUSVR-nu=0.75-C=10,sample3-NUSVR-nu=0.8-C=10,sample3-NUSVR-nu=0.85-C=10
0,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112
1,ENPP4,ENPP4,ENPP4,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,ENPP4,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1
2,FGR,FGR,FGR,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,FGR,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4
3,FUCA2,FUCA2,FUCA2,FGR,FGR,FGR,FGR,FGR,FGR,FUCA2,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR
4,GCLC,GCLC,GCLC,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,GCLC,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2
5,TNMD,NFYA,LAS1L,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,LAS1L,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC
6,,SCYL3,NFYA,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,NFYA,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L
7,,TNMD,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA
8,,TSPAN6,SCYL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,SCYL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3
9,,,TNMD,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,TNMD,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3
